,Product_Title,Price,Shop_Name,Category,Availability,G-Price
39,ACER EB192Q 18.5 INCH HD MONITOR,10000,STARTECH,Monitor,In Stock,10000.0
40,DELL E1916HV 18.5 INCH LED MONITOR (VGA),10300,STARTECH,Monitor,In Stock,10300.0
41,HP V19 18.5 INCH HD MONITOR,10400,STARTECH,Monitor,In Stock,10400.0
42,"HP P19V G4 18.5"" HD MONITOR",10500,STARTECH,Monitor,In Stock,10500.0
43,LENOVO D19-10 18.5 INCH HD HDMI VGA MONITOR,10800,STARTECH,Monitor,In Stock,10800.0
44,"DELL E2016HV 19.5"" LED MONITOR",10900,STARTECH,Monitor,In Stock,10900.0
45,DELL D1918H 18.5 INCH LED MONITOR (VGA HDMI),10900,STARTECH,Monitor,In Stock,10900.0
46,HP P204V 19.5 INCH HD LED MONITOR (HDMI VGA),11500,STARTECH,Monitor,In Stock,11500.0
47,LENOVO D20-20 19.5 INCH LCD MONITOR (HDMI VGA),11800,STARTECH,Monitor,In Stock,11800.0
48,"HP V22V 21.5"" FHD LED MONITOR",13500,STARTECH,Monitor,In Stock,13500.0
49,HUNTKEY RRB2211E/H 21.5-INCH FHD LED MONITOR,13500,STARTECH,Monitor,In Stock,13500.0
50,LG 22MP400-B 22-INCH FULL HD MONITOR,13700,STARTECH,Monitor,In Stock,13700.0
51,"LG 22MK430H-B 22"" FULL HD IPS LED MONITOR WITH AMD FREESYNC",14000,STARTECH,Monitor,In Stock,14000.0
52,"DELL SE2222H 21.5"" FHD MONITOR",14000,STARTECH,Monitor,In Stock,14000.0
53,"VIEWSONIC VA2215-H 22"" FULL HD MONITOR",14000,STARTECH,Monitor,In Stock,14000.0
54,ACER HA220Q 21.5 INCH IPS FULL HD MONITOR,14200,STARTECH,Monitor,In Stock,14200.0
55,"BENQ GW2280 22"" EYE-CARE STYLISH FULL HD LED MONITOR",14200,STARTECH,Monitor,In Stock,14200.0
56,XIAOMI REDMI 1A 23.8″ MONITOR IPS,15950,Skyland,Monitor,In Stock,15950.0
