,Product_Title,Price,Shop_Name,Category,Availability,G-Price
4119,WALTON WDR4L0426NN1 4GB DDR4 2666 MHZ DESKTOP RAM,2399,Skyland,Ram,In Stock,2399.0
4120,WALTON WDR4L0424NN1 4GB DDR4 2400MHZ DESKTOP RAM,2300,Skyland,Ram,In Stock,2300.0
4121,ZADAK MOAB RGB 8GB DDR4 3200MHZ DESKTOP RAM,5499,Skyland,Ram,In Stock,5499.0
4122,ZADAK TWIST 8GB DDR4 3200MHZ DESKTOP RAM,4800,Skyland,Ram,In Stock,4800.0
4123,AITC KINGSMAN DDR3 4GB 1600MHZ HEATSINK DESKTOP RAM,1750,Skyland,Ram,In Stock,1750.0
4124,MSI RADEON RX 6900 XT GAMING Z TRIO 16G GRAPHICS CARD,215000,Skyland,GPU,In Stock,215000.0
4125,SAPPHIRE AMD RADEON RX 6900 XT OC TOXIC LIMITED EDITION GRAPHICS CARD,186900,Skyland,GPU,In Stock,186900.0
4126,SAPPHIRE NITRO+ AMD RADEON RX 6900 XT SPECIAL EDITION 16GB GDDR6 GRAPHICS CARD,150000,Skyland,GPU,In Stock,150000.0
4127,SAPPHIRE TOXIC AMD RADEON RX 6900 XT EXTREME EDITION 16GB GDDR6 GRAPHICS CARD,206800,Skyland,GPU,In Stock,206800.0
4128,SAPPHIRE PULSE AMD RADEON RX 6800 XT 16GB GDDR6 GRAPHICS CARD,110000,Skyland,GPU,In Stock,110000.0
4129,MSI RADEON RX 6500 XT MECH 2X 4G OC GDDR6 GRAPHICS CARD,26900,Skyland,GPU,In Stock,26900.0
4130,MSI GEFORCE GT 730 4GB DDR3 PCI EXPRESS 2.0 GRAPHICS CARD,10500,Skyland,GPU,In Stock,10500.0
4131,MSI GEFORCE GT 1030 AERO ITX 2GD4 OC DDR4 GRAPHICS CARD,10500,Skyland,GPU,In Stock,10500.0
4132,PNY RTX 3070 TI 8GB XLR8 GAMING UPRISING EPIC-X RGB TRIPLE FAN GRAPHICS CARD,84000,Skyland,GPU,In Stock,84000.0
4133,PNY GEFORCE RTX 3060 TI 8GB UPRISING DUAL FAN LHR GRAPHICS CARD,68000,Skyland,GPU,In Stock,68000.0
4134,XFX SPEEDSTER QICK 210 AMD RADEON RX 6500 XT BLACK 4GB GDDR6 GAMING GRAPHICS CARD,26200,Skyland,GPU,In Stock,26200.0
4135,ASUS GEFORCE RTX 3070 NOCTUA OC EDITION 8GB GDDR6 GRAPHICS CARD,110000,Skyland,GPU,In Stock,110000.0
4136,PALIT GEFORCE RTX 2060 SUPER DUAL 8GB GDDR6 GRAPHICS CARD,58000,Skyland,GPU,In Stock,58000.0
4137,PALIT GEFORCE RTX 3050 DUAL 8GB GDDR6 GRAPHICS CARD,50000,Skyland,GPU,In Stock,50000.0
4138,PALIT GEFORCE GTX 1660 SUPER GP 6GB GDDR6 GRAPHICS CARD,43500,Skyland,GPU,In Stock,43500.0
4139,MSI GEFORCE RTX 3090 GAMING X TRIO 24GB GRAPHICS CARD,240000,Skyland,GPU,In Stock,240000.0
4140,HAVIT KB501CM 4IN1 RGB GAMING COMBO (MOUSE & KEYBOARD & HEADPHONE & MOUSE PAD) ,1850,TECHLAND,Keyboard,In Stock,1850.0
4141,DAREU EK871 GTR HOTSWAPPABLE WIRELESS MECHANICAL KEYBOARD (BLUE SWITCH),4600,TECHLAND,Keyboard,In Stock,4600.0
4142,RAPOO E6080 BLUETOOTH ULTRA-SLIM TOUCHPAD KEYBOARD,1800,TECHLAND,Keyboard,In Stock,1800.0
4143,HAVIT KB862L RGB BACKLIT MULTI FUNCTION MECHANICAL KEYBOARD,3300,TECHLAND,Keyboard,In Stock,3300.0
