Product_Title,Price,Shop_Name,Category,Availability,G-Price
MSI GEFORCE GT 730 KEPLER DDR3 2GB OC LOW PROFILE GRAPHICS CARD,8600,STARTECH,GPU,In Stock,8600.0
MSI GEFORCE GT 1030 2GD4 LP OC 2GB GRAPHICS CARD,9500,STARTECH,GPU,In Stock,9500.0
GIGABYTE GEFORCE GT 1030 LOW PROFILE D4 2GB GRAPHICS CARD,9600,STARTECH,GPU,In Stock,9600.0
GIGABYTE GEFORCE GT 1030 LOW PROFILE 2GB DDR5 GRAPHICS CARD,9500,STARTECH,GPU,In Stock,9500.0
ASUS GEFORCE GT 1030 2GB GDDR5 LOW PROFILE GRAPHICS CARD,9900,STARTECH,GPU,In Stock,9900.0
ASUS PHOENIX GEFORCE GT 1030 OC 2GB GDDR5 GRAPHICS CARD,10900,STARTECH,GPU,In Stock,10900.0
ASUS PHOENIX RADEON RX 550 4GB EVO GRAPHICS CARD,14000,STARTECH,GPU,In Stock,14000.0
AFOX RADEON RX 550 4GB GDDR5 DUAL FAN GRAPHICS CARD,17500,STARTECH,GPU,In Stock,17500.0
SAPPHIRE PULSE AMD RADEON RX 6400 4GB GDDR6 GRAPHICS CARD,19000,STARTECH,GPU,In Stock,19000.0
GIGABYTE GEFORCE GTX 1050 TI D5 4GB GDDR5 GRAPHICS CARD,20000,STARTECH,GPU,In Stock,20000.0
MSI GEFORCE GTX 1630 VENTUS XS 4GB OC GDDR6 GRAPHICS CARD,21500,STARTECH,GPU,In Stock,21500.0
ASUS PHOENIX GEFORCE GTX 1050TI 4GB GDDR5 GRAPHICS CARD,22500,STARTECH,GPU,In Stock,22500.0
MSI GEFORCE GTX 1050 TI 4GT OCV1 4GB GRAPHICS CARD,23000,STARTECH,GPU,In Stock,23000.0
(SINGLE) COLORFUL GEFORCE GT710-2GD3-V 2GB GRAPHICS CARD,5200,Skyland,GPU,In Stock,5200.0
GIGABYTE GEFORCE GT 1030 LOW PROFILE D4 2GB GRAPHICS CARD,10000,Skyland,GPU,In Stock,10000.0
ZOTAC GAMING GEFORCE GTX 1660 SUPER 6GB GDDR6 TWIN FAN GRAPHICS CARD,44500,Skyland,GPU,In Stock,44500.0
