Product_Title,Price,Shop_Name,Category,Availability,G-Price
SAPPHIRE PLUSE RADEON RX 6400 4GB GDDR6 GRAPHICS CARD #11315-01-20G,19800,RYANS,GPU,In Stock,19800
MSI GEFORCE GTX 1630 VENTUS XS 4G OC 4GB GDDR6 GRAPHICS CARD,20500,RYANS,GPU,In Stock,20500
(BUNDLE WITH PC) GIGABYTE GEFORCE GTX 1050 TI WINDFORCE OC 4GB GDDR5 GRAPHICS CARD #GV-N105TWF2OC-4GD,22000,RYANS,GPU,Out of Stock,22000
ASUS PHOENIX GEFORCE GTX 1050TI 4GB GDDR5 GRAPHICS CARD #PH-GTX1050TI-4G,22500,RYANS,GPU,In Stock,22500
MSI GEFORCE GTX 1650 VENTUS XS 4G 4GB GDDR5 GRAPHICS CARD,25500,RYANS,GPU,In Stock,25500
MSI GEFORCE RTX 3050 AERO ITX 8G OC 8GB GDDR6 GRAPHICS CARD,41000,RYANS,GPU,In Stock,41000
ASUS DUAL GEFORCE RTX 3050 8GB GDDR6 GRAPHICS CARD #DUAL-RTX3050-8G,46000,RYANS,GPU,In Stock,46000
MSI GEFORCE RTX 3050 VENTUS 2X 8G OC 8GB GDDR6 GRAPHICS CARD,48000,RYANS,GPU,In Stock,48000
SAPPHIRE PULSE AMD RADEON RX 6650 XT 8GB GDDR6 GRAPHICS CARD #11319-03-20G,54900,RYANS,GPU,In Stock,54900
SAPPHIRE NITRO+ AMD RADEON RX 6650 XT 8GB GDDR6 GRAPHICS CARD #11319-01-20G,57900,RYANS,GPU,In Stock,57900
MSI RADEON RX 6750 XT MECH 2X 12G OC 12GB GDDR6 GRAPHICS CARD,79000,RYANS,GPU,In Stock,79000
ZOTAC GAMING GEFORCE RTX 3090 TI AMP EXTREME HOLO 24GB GDDR6X GRAPHICS CARD #ZT-A30910B-10P,245000,RYANS,GPU,In Stock,245000
ASUS GEFORCE GT 1030 2GB GDDR5 LOW PROFILE GRAPHICS CARD,9900,RYANS,GPU,In Stock,9900
ASUS CERBERUS GEFORCE GTX 1050 TI OC 4GB GDDR5 GRAPHICS CARD #CERBERUS-GTX1050TI-O4G,24900,RYANS,GPU,In Stock,24900
GIGABYTE GEFORCE GTX 1660 OC 6GB GDDR5 GRAPHICS CARD #GV-N1660OC-6GD,46000,RYANS,GPU,In Stock,46000
(BUNDLE WITH PC) GIGABYTE GTX 1660 TI OC 6GB GDDR6 GRAPHICS CARD #GV-N166TOC-6GD,48000,RYANS,GPU,In Stock,48000
ARKTEK NVIDIA GEFORCE G210 1GB GDDR3 GRAPHICS CARD #AKN210D3S1GL1,3500,RYANS,GPU,In Stock,3500
ARKTEK NVIDIA GEFORCE GT610 2GB GDDR3 GRAPHICS CARD #AKN610D3S2GL1,4500,RYANS,GPU,In Stock,4500
GIGABYTE NVIDIA GEFORCE GT 710 2GB GDDR3 GRAPHICS CARD #GV-N710D3-2GL,5200,RYANS,GPU,In Stock,5200
GIGABYTE GEFORCE GT 730 2GB GDDR3 GRAPHICS CARD #GV-N730D3-2GI,6700,RYANS,GPU,In Stock,6700
DELUX M700A 7200DPI LIGHTWEIGHT RGB GAMING MOUSE,650,TECHLAND,Mouse,In Stock,650
LOGITECH M187 ULTRA PORTABLE WIRELESS MOUSE ,1300,TECHLAND,Mouse,In Stock,1300
LOGITECH M235 WIRELESS MOUSE ,1599,TECHLAND,Mouse,In Stock,1599
LOGITECH M190 PORTABLE WIRELESS MOUSE,1249,TECHLAND,Mouse,In Stock,1249
LOGITECH B175 WIRELESS MOUSE,950,TECHLAND,Mouse,In Stock,950
MSI M99 WIRED RGB ERGONOMIC GAMING MOUSE ,749,TECHLAND,Mouse,In Stock,749
RAZER DEATHADDER ESSENTIAL MOUSE + RAZER GOLIATHUS SPEED PIKACHU LIMITED EDITION MOUSE PAD COMBO,4750,TECHLAND,Mouse,In Stock,4750
REDRAGON M908 IMPACT MMO GAMING MOUSE ,2250,TECHLAND,Mouse,In Stock,2250
LOGITECH M350 WIRELESS MOUSE (ROSE),2422,TECHLAND,Mouse,In Stock,2422
LOGITECH MX MASTER 3 ADVANCED WIRELESS 7 BUTTON MOUSE,9500,TECHLAND,Mouse,In Stock,9500
LOGITECH B170 WIRELESS MOUSE,950,TECHLAND,Mouse,In Stock,950
GIGABYTE AORUS M2 6400 DPI OPTICAL RGB GAMING MOUSE,1350,TECHLAND,Mouse,In Stock,1350
LOGITECH M350 WIRELESS MOUSE (WHITE),2422,TECHLAND,Mouse,In Stock,2422
LOGITECH M337 WIRELESS RUBBER GRIP BLUETOOTH MOUSE,2230,TECHLAND,Mouse,In Stock,2230
LOGITECH M350 WIRELESS MOUSE (GRAPHITE),2422,TECHLAND,Mouse,In Stock,2422
LOGITECH G502 HERO HIGH PERFORMANCE RGB GAMING MOUSE,5209,TECHLAND,Mouse,In Stock,5209
HAVIT KB329 BLACK USB MINI KEYBOARD WITH BANGLA,420,RYANS,Keyboard,In Stock,420
MICROPACK K203 BLACK BASIC USB KEYBOARD WITH BANGLA,425,RYANS,Keyboard,In Stock,425
MICROPACK K206 BLACK USB KEYBOARD WITH BANGLA,450,RYANS,Keyboard,In Stock,450
MICROPACK K2208 BLACK USB MINI KEYBOARD WITH BANGLA,500,RYANS,Keyboard,In Stock,500
HAVIT KB327 BLACK USB MULTIMEDIA KEYBOARD WITH BANGLA,575,RYANS,Keyboard,In Stock,575
LOGITECH K120 BLACK USB KEYBOARD WITH BANGLA,699,RYANS,Keyboard,In Stock,699
HP 100 WIRED USB BLACK KEYBOARD #2UN30AA,700,RYANS,Keyboard,In Stock,700
REDRAGON P023 BLACK GAMING WRISTPAD,750,RYANS,Keyboard,In Stock,750
MARVO SCORPION K606 WIRED BLACK GAMING KEYBOARD,1250,RYANS,Keyboard,In Stock,1250
REDRAGON K509 DYAUS 7 COLORS BACKLIT GAMING KEYBOARD,2100,RYANS,Keyboard,In Stock,2100
MARVO KG954 WIRED (BLUE SWITCH) BLACK MECHANICAL GAMING KEYBOARD,2400,RYANS,Keyboard,In Stock,2400
MARVO KG962 WIRED (BLUE SWITCH) BLACK MECHANICAL GAMING KEYBOARD,2450,RYANS,Keyboard,In Stock,2450
MARVO KG962WH WIRED (BLUE SWITCH) WHITE MECHANICAL GAMING KEYBOARD,2450,RYANS,Keyboard,In Stock,2450
A4TECH FBX51C DUAL MODE GREY BLUETOOTH KEYBOARD,2500,RYANS,Keyboard,In Stock,2500
A4TECH FBX51C DUAL MODE MATCHA GREEN BLUETOOTH KEYBOARD,2500,RYANS,Keyboard,In Stock,2500
REDRAGON K512 SHIVA RGB BLACK MEMBRANE GAMING KEYBOARD,2800,RYANS,Keyboard,In Stock,2800
LOGITECH K375S WIRELESS MULTI DEVICE KEYBOARD,2869,RYANS,Keyboard,In Stock,2869
REDRAGON DAKSA K576R RAINBOW LED USB BLACK GAMING KEYBOARD,3400,RYANS,Keyboard,In Stock,3400
REDRAGON K617 FIZZ RGB (RED SWITCH) PINK-WHITE GAMING KEYBOARD,3400,RYANS,Keyboard,In Stock,3400
REDRAGON K617 FIZZ RGB (RED SWITCH) GRAY-WHITE GAMING KEYBOARD,3400,RYANS,Keyboard,In Stock,3400
TWINMOS 4GB DDR3 1333 BUS DESKTOP RAM,1700,RYANS,Ram,In Stock,1700
TWINMOS 4GB DDR3 1600 BUS DESKTOP RAM,1700,RYANS,Ram,In Stock,1700
GEIL PRISTINE 4GB DDR3 1600MHZ DESKTOP RAM #GP34GB1600C11SC,1800,RYANS,Ram,In Stock,1800
ADATA PREMIER 4GB DDR4 2666MHZ DESKTOP RAM #AD4U2666J4G19-R / AD4U26664G19-RGN,1850,RYANS,Ram,In Stock,1850
TWINMOS 4GB DDR4 2400MHZ DESKTOP RAM,1950,RYANS,Ram,In Stock,1950
APACER 4GB DDR3 1600MHZ DESKTOP RAM #DG.04G2K.KAM / AU04GFA60CATBGJ,2050,RYANS,Ram,In Stock,2050
TWINMOS 4GB DDR4 3200MHZ U-DIMM DESKTOP RAM,2100,RYANS,Ram,In Stock,2100
G.SKILL 4GB DDR4 2400MHZ DESKTOP RAM,2200,RYANS,Ram,In Stock,2200
G.SKILL RIPJAWS V 4GB DDR4 2400MHZ RED HEATSINK DESKTOP RAM,2400,RYANS,Ram,In Stock,2400
CORSAIR VENGEANCE LPX 4GB DDR4 2400 BUS DESKTOP RAM WITH BLACK HEATSINK #CMK4GX4M1A2400C16,2450,RYANS,Ram,In Stock,2450
G.SKILL RIPJAWS V 4GB DDR4 2666MHZ RED HEATSINK DESKTOP RAM,2500,RYANS,Ram,In Stock,2500
TWINMOS 8GB DDR3 1600 BUS DDR3 DESKTOP RAM,3050,RYANS,Ram,In Stock,3050
GEIL PRISTINE 8GB DDR4 2666MHZ DESKTOP RAM #GP48GB2666C19SC,3100,RYANS,Ram,In Stock,3100
GEIL PRISTINE 8GB DDR4 3200MHZ DESKTOP RAM #GP48GB3200C22SC,3100,RYANS,Ram,In Stock,3100
G.SKILL 8GB DDR4 2400 MHZ DESKTOP RAM,3400,RYANS,Ram,In Stock,3400
TWINMOS CONCORD RGB 8GB DDR4 2666MHZ PC4 GAMING DESKTOP RAM,3450,RYANS,Ram,In Stock,3450
G.SKILL RIPJAWS V 8GB DDR4 2400 MHZ RED HEATSINK DESKTOP RAM,3600,RYANS,Ram,In Stock,3600
